qa_id,card_no,position
76c40e77-cdbc-5638-8cc8-67be2376489b,OGN-008,0
76c40e77-cdbc-5638-8cc8-67be2376489b,OGS-011,1
76c40e77-cdbc-5638-8cc8-67be2376489b,OGN-024,2
4a4cf4ab-9ac0-5635-83b8-29fa57673020,SFD-210,0
63f03b4c-6f6f-5d07-888c-ca4676a3b1c5,SFD-177,0
63f03b4c-6f6f-5d07-888c-ca4676a3b1c5,SFD-202,1
63f03b4c-6f6f-5d07-888c-ca4676a3b1c5,SFD-T02,2
9f7ae629-cdf8-52ec-954d-b8c1197b0cad,SFD-148,0
9f7ae629-cdf8-52ec-954d-b8c1197b0cad,SFD-021,1
d00b0078-3371-5cb0-b4c0-23a05fc75e7b,UNL-198,0
1c03aa1a-fc62-5b66-b4e8-c26320b0d2ff,UNL-198,0
16c0fdf1-3956-5890-8161-00f0e03cd17a,UNL-173,0
16c0fdf1-3956-5890-8161-00f0e03cd17a,UNL-179,1
ce11ef58-9cc8-5d7c-92c8-f875f408d983,SFD-179,0
ce11ef58-9cc8-5d7c-92c8-f875f408d983,UNL-143,1
e2cee14b-4b53-567c-a0dd-8dfe382fbd00,OGN-077,0
e2cee14b-4b53-567c-a0dd-8dfe382fbd00,SFD-058,1
e2cee14b-4b53-567c-a0dd-8dfe382fbd00,UNL-170,2
d41b7323-5c22-51fe-bd0f-870f8b570026,OGN-077,0
d41b7323-5c22-51fe-bd0f-870f8b570026,OGN-231,1
8636480a-6524-531f-8fe6-e3d030e3e388,OGN-077,0
8636480a-6524-531f-8fe6-e3d030e3e388,SFD-163,1
fca1a30c-ef38-59f2-b8f7-3b7d17458d81,OGN-077,0
fca1a30c-ef38-59f2-b8f7-3b7d17458d81,UNL-142,1
e0ff46f3-eb04-5f9e-9844-0bbcaebdc586,OGN-077,0
e0ff46f3-eb04-5f9e-9844-0bbcaebdc586,OGN-242,1
bded16b2-d54f-571a-8bb4-e4e359e051aa,OGN-077,0
bded16b2-d54f-571a-8bb4-e4e359e051aa,UNL-186,1
46523a79-8601-5fd7-8190-326e6236fa1f,UNL-150,0
46523a79-8601-5fd7-8190-326e6236fa1f,OGN-160,1
a2de3660-d93d-5502-a69f-75da3c3e1706,UNL-080,0
48a589dd-8cdc-52bd-9417-36ce39d6c5c5,OGN-258,0
48a589dd-8cdc-52bd-9417-36ce39d6c5c5,UNL-080,1
c2b2f0b2-ca40-5ace-b315-7f10db8dff6e,UNL-216,0
c2b2f0b2-ca40-5ace-b315-7f10db8dff6e,OGN-183,1
c2b2f0b2-ca40-5ace-b315-7f10db8dff6e,UNL-131,2
30b4135e-b58f-5a13-8a12-4672fdb28598,UNL-052,0
0b4e74c1-4284-5357-9ab2-e9e551eb992e,SFD-111,0
97bc9662-06ae-5f37-a762-565c293e0349,OGN-103,0
62c9d99c-2039-57e8-8826-74e7727e5a49,UNL-079,0
de5de31b-5f4c-53cc-a39b-92468f3999a0,UNL-079,0
de5de31b-5f4c-53cc-a39b-92468f3999a0,OGN-169,1
094a0b80-f371-5bca-870d-3be0500f0645,UNL-079,0
0769d58e-f3f9-5054-8e31-45a01d26b1bf,OGN-173,0
0769d58e-f3f9-5054-8e31-45a01d26b1bf,UNL-079,1
75f9b34e-daee-55c4-aa7f-5a613d3f5d73,OGN-199,0
ead6052d-e564-5173-9fb9-e3208513ad58,OGN-199,0
de20de34-a6e8-55a3-8e6d-3e60867947f2,OGN-238,0
de20de34-a6e8-55a3-8e6d-3e60867947f2,UNL-120,1
afcd29f6-2819-5790-a5fe-7516bfa1d6d3,UNL-120,0
873f1c9c-4445-5367-a96b-e954de3b4ebb,UNL-145,0
873f1c9c-4445-5367-a96b-e954de3b4ebb,OGN-209,1
175551b1-50f4-5a62-9ef9-c906bf07a767,SFD-036,0
175551b1-50f4-5a62-9ef9-c906bf07a767,SFD-051,1
4aef74ea-a7ff-57e2-9a1a-4c73393f646a,SFD-146,0
4aef74ea-a7ff-57e2-9a1a-4c73393f646a,OGN-173,1
6221e150-2313-5048-80ab-1a14ecb6d268,OGN-121,0
6221e150-2313-5048-80ab-1a14ecb6d268,UNL-128,1
c988771a-cdb4-5378-9dc5-cad8d36a26f4,UNL-210,0
c988771a-cdb4-5378-9dc5-cad8d36a26f4,OGN-121,1
0b8c4ee5-73bf-58ea-9cd1-ee8e675d9bef,UNL-215,0
0b8c4ee5-73bf-58ea-9cd1-ee8e675d9bef,UNL-199,1
0b8c4ee5-73bf-58ea-9cd1-ee8e675d9bef,UNL-T06,2
0b8c4ee5-73bf-58ea-9cd1-ee8e675d9bef,OGN-169,3
0b8c4ee5-73bf-58ea-9cd1-ee8e675d9bef,VEN-123,4
1bce5a6b-caf7-5727-8dcb-04aee7128640,UNL-215,0
1bce5a6b-caf7-5727-8dcb-04aee7128640,UNL-199,1
1bce5a6b-caf7-5727-8dcb-04aee7128640,UNL-T06,2
1bce5a6b-caf7-5727-8dcb-04aee7128640,OGN-169,3
1bce5a6b-caf7-5727-8dcb-04aee7128640,VEN-123,4
7b23076d-450e-54b9-bff7-dca844b9f93b,OGN-060,0
7b23076d-450e-54b9-bff7-dca844b9f93b,UNL-053,1
7b23076d-450e-54b9-bff7-dca844b9f93b,UNL-120,2
50af8c01-1ed1-582d-9d2c-fc73d404c917,VEN-135,0
68437130-883c-5acd-9ce7-020e1d1152db,VEN-135,0
68437130-883c-5acd-9ce7-020e1d1152db,OGS-011,1
0dec9d0e-eb88-51a7-933c-34bb9fb5dc0a,VEN-135,0
0dec9d0e-eb88-51a7-933c-34bb9fb5dc0a,OGS-011,1
7fdd3ab5-ab7b-537e-a74c-b0e6ec5e7d2c,VEN-135,0
7fdd3ab5-ab7b-537e-a74c-b0e6ec5e7d2c,OGN-169,1
a1ca906e-bc94-51bb-963d-51c0ac1910f8,VEN-044,0
a1ca906e-bc94-51bb-963d-51c0ac1910f8,OGN-172,1
5e599502-2a90-5fe9-a365-25a7f75429ed,VEN-044,0
5e599502-2a90-5fe9-a365-25a7f75429ed,OGN-058,1
5e599502-2a90-5fe9-a365-25a7f75429ed,OGN-172,2
44c97cb8-b3b5-5162-b8e9-6f34364d6863,SFD-036,0
44c97cb8-b3b5-5162-b8e9-6f34364d6863,UNL-120,1
df4ec28f-5c1d-5f30-8369-fa277cc42828,SFD-048,0
df4ec28f-5c1d-5f30-8369-fa277cc42828,UNL-053,1
df4ec28f-5c1d-5f30-8369-fa277cc42828,VEN-140,2
a97e77ec-e561-5fd6-9a68-2b86b511fe48,VEN-152,0
f7e93a38-a888-5894-9581-5b1bdf2130c1,UNL-063,0
f7e93a38-a888-5894-9581-5b1bdf2130c1,SFD-145,1
e01a5cb8-339d-5814-be12-2633482f1b82,VEN-044,0
e01a5cb8-339d-5814-be12-2633482f1b82,SFD-202,1
1e4c7e23-a086-51f6-951d-232ba2acbc24,UNL-145,0
