原文,归一化标注,card_no,card_name_cn,sub_title_cn,匹配方式,QA覆盖,QA条数,QA_source_id,出现次数,出现文件
爆裂球果仙灵,爆裂球果仙灵,OGN-097,爆裂球果仙灵,,精确(名),有,1,61,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
牲,牺牲,UNL-173,牺牲,,精确(单字包含),无,0,,1,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
牺牲,牺牲,UNL-173,牺牲,,精确(名),无,0,,2,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
狂热粉丝,狂热粉丝,SFD-128,狂热粉丝,,精确(名),有,1,90,8,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
狂风绝息斩,狂风绝息斩,OGN-260,狂风绝息斩,,精确(名),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
猛龙摆尾,猛龙摆尾,OGN-258,猛龙摆尾,,精确(名),有,1,18,4,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
瑟提，铁拳,瑟提（铁拳）,OGN-164,瑟提,铁拳,精确(名+副标题),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
皮城学院,皮城学院,UNL-216,皮城学院,,精确(名),无,0,,2,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
祖安地沟,祖安地沟,OGN-298,祖安地沟,,精确(名),有,1,47,4,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
禁忌荒原,禁忌荒原,UNL-210,禁忌荒原,,精确(名),无,0,,4,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
精灵,精灵,OGN-274、UNL-T07,精灵,,精确(名),无,0,,2,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
织魂者,织魂者,VEN-123,织魂者,,精确(名),无,0,,4,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
"维克托,奥术先驱",奥术先驱,FND-265、OGN-265,奥术先驱,,拆解(后缀成卡·黏连),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
维克托，奥术先驱,奥术先驱,FND-265、OGN-265,奥术先驱,,拆解(后缀成卡·黏连),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
罡风,罡风,OGN-169,罡风,,精确(名),有,4,50、58、65、169,14,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt、2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt、2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt、2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt、2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
罪,罪恶快感,OGN-008,罪恶快感,,精确(单字包含),无,0,,1,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
罪恶快感,罪恶快感,OGN-008,罪恶快感,,精确(名),无,0,,4,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
背水一战,背水一战,OGN-069,背水一战,,精确(名),无,0,,3,2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
艾克，溯时洄光,艾克（溯时洄光）,OGN-110,艾克,溯时洄光,精确(名+副标题),无,0,,2,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt
艾卡西亚暴雨,艾卡西亚暴雨,OGN-248,艾卡西亚暴雨,,精确(名),有,1,122,5,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
苍炎守护者,苍炎守护者,OGN-082,苍炎守护者,,精确(名),无,0,,15,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt、2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
荣耀行刑官,荣耀行刑官,SFD-185,荣耀行刑官,,精确(名),无,0,,3,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
莱卓斯指挥官,莱卓斯指挥官,OGN-231,莱卓斯指挥官,,精确(名),无,0,,2,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
蔑视,蔑视,OGN-045,蔑视,,精确(名),有,3,8、44、183,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
蕾欧娜-炽诚者,蕾欧娜（炽诚者）,OGN-238,蕾欧娜,炽诚者,精确(名+副标题),无,0,,2,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
蕾欧娜，曙光女神,曙光女神,OGN-261,曙光女神,,拆解(后缀成卡·黏连),无,0,,2,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
薇古丝-冷眼旁观,薇古丝（冷眼旁观）,UNL-150,薇古丝,冷眼旁观,精确(名+副标题),有,1,110,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
薇古丝－冷眼旁观,薇古丝（冷眼旁观）,UNL-150,薇古丝,冷眼旁观,精确(名+副标题),有,1,110,1,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
薇古丝-郁,薇古丝（郁郁）,SFD-146,薇古丝,郁郁,前缀匹配(副标题),有,2,94、184,1,2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt
薇古丝-郁郁,薇古丝（郁郁）,SFD-146,薇古丝,郁郁,精确(名+副标题),有,2,94、184,3,2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt
薇古丝-郁郁获得进攻,薇古丝（郁郁）,SFD-146,薇古丝,郁郁,前缀截取[薇古丝-郁郁]·精确(名+副标题),有,2,94、184,1,2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt
虚空索敌,虚空索敌,OGN-024,虚空索敌,,精确(名),无,0,,5,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
虚空遁地兽,虚空遁地兽,SFD-187,虚空遁地兽,,精确(名),有,1,170,1,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
裂魂者喇煞,裂魂者喇煞,OGN-195,裂魂者喇煞,,精确(名),有,1,106,3,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
训练有素,训练有素,OGN-058,训练有素,,精确(名),有,2,55、80,2,2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
警觉的哨兵,警觉的哨兵,OGN-096,警觉的哨兵,,精确(名),有,1,102,2,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt
责退,责退,OGN-172,责退,,精确(名),有,1,169,4,2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
超究极死神飞弹!,超究极死神飞弹！,OGN-252,超究极死神飞弹！,,精确(名),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
超究极死神飞弹！,超究极死神飞弹！,OGN-252,超究极死神飞弹！,,精确(名),无,0,,2,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
迅捷,迅捷蟹,UNL-053,迅捷蟹,,模糊(距1),无,0,,1,2026-09-16_关于第四赛季区域公开赛「沈阳站」赛后判例_1248516146510954500/判例文字.txt
迅捷蟹,迅捷蟹,UNL-053,迅捷蟹,,精确(名),无,0,,10,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt、2026-09-16_关于第四赛季区域公开赛「沈阳站」赛后判例_1248516146510954500/判例文字.txt
远见,远见面具,OGN-060,远见面具,,精确(名字前缀),有,1,73,1,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
远见面具,远见面具,OGN-060,远见面具,,精确(名),有,1,73,3,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
造化弄人,造化弄人,UNL-128,造化弄人,,精确(名),无,0,,2,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
遗弃,遗弃,UNL-131,遗弃,,精确(名),有,1,112,2,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
金克丝，暴走萝莉,暴走萝莉,FND-251、OGN-251,暴走萝莉,,拆解(后缀成卡·黏连),有,1,79,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
金币,金币,SFD-T03、UNL-T05、VEN-T02,金币,,精确(名),无,0,,3,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
铁甲先锋,铁甲先锋,SFD-021,铁甲先锋,,精确(名),无,0,,1,2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
长,长剑,SFD-022,长剑,,跨行续接·精确(名),有,2,147、154,1,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
长剑,长剑,SFD-022,长剑,,精确(名),有,2,147、154,5,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
闪现,闪现,OGS-011,闪现,,精确(名),有,2,62、206,5,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt、2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
闪耀极光,闪耀极光,OGN-160,闪耀极光,,精确(名),有,4,21、29、48、208,18,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt、2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
阿克尚,阿克尚（放浪不羁）,SFD-109,阿克尚,放浪不羁,精确(名),有,3,144、187、208,10,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
阿克尚，放浪不羁,阿克尚（放浪不羁）,SFD-109,阿克尚,放浪不羁,精确(名+副标题),有,3,144、187、208,1,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
阿兹尔,阿兹尔（帝君）,SFD-177,阿兹尔,帝君,精确(名·上下文定副标题),有,1,161,6,2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
阿兹尔-帝君,阿兹尔（帝君）,SFD-177,阿兹尔,帝君,精确(名+副标题),有,1,161,1,2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
阿兹尔－帝君,阿兹尔（帝君）,SFD-177,阿兹尔,帝君,精确(名+副标题),有,1,161,1,2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
阿兹尔-飞,阿兹尔（飞升者）,SFD-050,阿兹尔,飞升者,前缀匹配(副标题),有,2,201、215,1,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
阿兹尔-飞升者,阿兹尔（飞升者）,SFD-050,阿兹尔,飞升者,精确(名+副标题),有,2,201、215,1,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
阿瑞昂的陨落,阿瑞昂的陨落,SFD-030,阿瑞昂的陨落,,精确(名),有,1,158,3,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
随从,随从,VEN-T04,随从,,精确(名),无,0,,2,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
随从(祖安),随从（祖安）,OGN-273,随从（祖安）,,精确(名),无,0,,1,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
随从（祖安）,随从（祖安）,OGN-273,随从（祖安）,,精确(名),无,0,,1,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
雷恩加尔,雷恩加尔（异兽猎手）,UNL-120,雷恩加尔,异兽猎手,精确(名·上下文定副标题),无,0,,1,2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
雷恩加尔-异兽猎手,雷恩加尔（异兽猎手）,UNL-120,雷恩加尔,异兽猎手,精确(名+副标题),无,0,,2,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
雷恩加尔－异兽猎手,雷恩加尔（异兽猎手）,UNL-120,雷恩加尔,异兽猎手,精确(名+副标题),无,0,,3,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt、2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
雷恩加尔-异兽猎手、蕾欧娜-炽诚者,雷恩加尔（异兽猎手）、蕾欧娜（炽诚者）,OGN-238、UNL-120,蕾欧娜、雷恩加尔,炽诚者、异兽猎手,精确(名+副标题),无,0,,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
雷恩加尔-异兽猎手会征服战场。,雷恩加尔（异兽猎手）,UNL-120,雷恩加尔,异兽猎手,前缀截取[雷恩加尔-异兽猎手]·精确(名+副标题),无,0,,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
顺劈,顺劈,OGN-004,顺劈,,精确(名),有,2,162、214,3,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
预判攻势,预判攻势,SFD-122,预判攻势,,精确(名),无,0,,4,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
风之障壁,风之障壁,OGN-064,风之障壁,,精确(名),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
食肉蛇藤,食肉蛇藤,OGN-149,食肉蛇藤,,精确(名),有,1,55,3,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
驭风而行,驭风而行,OGN-173,驭风而行,,精确(名),有,2,31、173,7,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt、2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt、2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt
魅惑妖术,魅惑妖术,OGN-043,魅惑妖术,,精确(名),有,2,13、63,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
黄沙士兵,黄沙士兵,SFD-T02,黄沙士兵,,精确(名),无,0,,6,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt、2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
黛安娜-月化身,黛安娜（皎月化身）,UNL-079,黛安娜,皎月化身,模糊(距1),无,0,,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
黛安娜-皎月,黛安娜（皎月化身）,UNL-079,黛安娜,皎月化身,前缀匹配(副标题),无,0,,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
黛安娜-皎月化,黛安娜（皎月化身）,UNL-079,黛安娜,皎月化身,前缀匹配(副标题),无,0,,1,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
黛安娜-皎月化身,黛安娜（皎月化身）,UNL-079,黛安娜,皎月化身,精确(名+副标题),无,0,,7,2026-06-10_关于第三赛季区域公开赛-天津站赛后判例_1212165186176155648/判例文字.txt
